EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5563671,SOUTHERN WILLAMETTE VALLEY (ZONE), ,02/05/1996,0,Debris Flow, , ,0,0,0,0,OR,PST, ,2046495,Z,8,PQR,0,0, , , , , , , , , ,02/09/1996,0, , , , ,"","During the week of February 3rd through the 10th, a river of subtropical atmospheric moisture flowed above northern Oregon.  Weather disturbances within this flow produced very heavy rainfall, particularly in the northwestern part of the state. The most intense rainfall occurred from the 6th through the 8th. In this 3 day period Portland recieved 5.92 inches of rain, Eugene 8.16 inches, Salem 6.01 inches and Astoria 7.68 inches. Numerous mudslides were triggered, disrupting transportation in mountainous areas of western Oregon and in the Northeast Mountains. One man was killed when a mudslide knocked a tree down onto his car in the town of Philomath. Interstate 84 was cut by a mudslide near Hood River and in the Northeast Mountains, the town of Troy was cut off from the outside world from mudslide and sinkhole damage to all of the roads into the town.",1
5563668,CENTRAL COAST RANGE OF W OREGON (ZONE), ,02/05/1996,0,Debris Flow, , ,1,0,0,0,OR,PST, ,2046495,Z,4,PQR,0,0, , , , , , , , , ,02/09/1996,0, , , , ,"","During the week of February 3rd through the 10th, a river of subtropical atmospheric moisture flowed above northern Oregon.  Weather disturbances within this flow produced very heavy rainfall, particularly in the northwestern part of the state. The most intense rainfall occurred from the 6th through the 8th. In this 3 day period Portland recieved 5.92 inches of rain, Eugene 8.16 inches, Salem 6.01 inches and Astoria 7.68 inches. Numerous mudslides were triggered, disrupting transportation in mountainous areas of western Oregon and in the Northeast Mountains. One man was killed when a mudslide knocked a tree down onto his car in the town of Philomath. Interstate 84 was cut by a mudslide near Hood River and in the Northeast Mountains, the town of Troy was cut off from the outside world from mudslide and sinkhole damage to all of the roads into the town.",2
5563667,NORTHERN OREGON COAST (ZONE), ,02/05/1996,0,Debris Flow, , ,0,0,0,0,OR,PST, ,2046495,Z,1,PQR,0,0, , , , , , , , , ,02/09/1996,0, , , , ,"","During the week of February 3rd through the 10th, a river of subtropical atmospheric moisture flowed above northern Oregon.  Weather disturbances within this flow produced very heavy rainfall, particularly in the northwestern part of the state. The most intense rainfall occurred from the 6th through the 8th. In this 3 day period Portland recieved 5.92 inches of rain, Eugene 8.16 inches, Salem 6.01 inches and Astoria 7.68 inches. Numerous mudslides were triggered, disrupting transportation in mountainous areas of western Oregon and in the Northeast Mountains. One man was killed when a mudslide knocked a tree down onto his car in the town of Philomath. Interstate 84 was cut by a mudslide near Hood River and in the Northeast Mountains, the town of Troy was cut off from the outside world from mudslide and sinkhole damage to all of the roads into the town.",3
5563669,GREATER PORTLAND METRO AREA (ZONE), ,02/05/1996,0,Debris Flow, , ,0,0,0,0,OR,PST, ,2046495,Z,6,PQR,0,0, , , , , , , , , ,02/09/1996,0, , , , ,"","During the week of February 3rd through the 10th, a river of subtropical atmospheric moisture flowed above northern Oregon.  Weather disturbances within this flow produced very heavy rainfall, particularly in the northwestern part of the state. The most intense rainfall occurred from the 6th through the 8th. In this 3 day period Portland recieved 5.92 inches of rain, Eugene 8.16 inches, Salem 6.01 inches and Astoria 7.68 inches. Numerous mudslides were triggered, disrupting transportation in mountainous areas of western Oregon and in the Northeast Mountains. One man was killed when a mudslide knocked a tree down onto his car in the town of Philomath. Interstate 84 was cut by a mudslide near Hood River and in the Northeast Mountains, the town of Troy was cut off from the outside world from mudslide and sinkhole damage to all of the roads into the town.",4
5563672,NORTHERN OREGON CASCADES (ZONE), ,02/05/1996,0,Debris Flow, , ,0,0,0,0,OR,PST, ,2046495,Z,11,PQR,0,0, , , , , , , , , ,02/09/1996,0, , , , ,"","During the week of February 3rd through the 10th, a river of subtropical atmospheric moisture flowed above northern Oregon.  Weather disturbances within this flow produced very heavy rainfall, particularly in the northwestern part of the state. The most intense rainfall occurred from the 6th through the 8th. In this 3 day period Portland recieved 5.92 inches of rain, Eugene 8.16 inches, Salem 6.01 inches and Astoria 7.68 inches. Numerous mudslides were triggered, disrupting transportation in mountainous areas of western Oregon and in the Northeast Mountains. One man was killed when a mudslide knocked a tree down onto his car in the town of Philomath. Interstate 84 was cut by a mudslide near Hood River and in the Northeast Mountains, the town of Troy was cut off from the outside world from mudslide and sinkhole damage to all of the roads into the town.",5
5563670,CENTRAL WILLAMETTE VALLEY (ZONE), ,02/05/1996,0,Debris Flow, , ,0,0,0,0,OR,PST, ,2046495,Z,7,PQR,0,0, , , , , , , , , ,02/09/1996,0, , , , ,"","During the week of February 3rd through the 10th, a river of subtropical atmospheric moisture flowed above northern Oregon.  Weather disturbances within this flow produced very heavy rainfall, particularly in the northwestern part of the state. The most intense rainfall occurred from the 6th through the 8th. In this 3 day period Portland recieved 5.92 inches of rain, Eugene 8.16 inches, Salem 6.01 inches and Astoria 7.68 inches. Numerous mudslides were triggered, disrupting transportation in mountainous areas of western Oregon and in the Northeast Mountains. One man was killed when a mudslide knocked a tree down onto his car in the town of Philomath. Interstate 84 was cut by a mudslide near Hood River and in the Northeast Mountains, the town of Troy was cut off from the outside world from mudslide and sinkhole damage to all of the roads into the town.",6
5566792,AGUADILLA CO.,MOCA/SAN SEBASTIAN,02/23/1996,1635,Debris Flow, , ,0,0,0,0,XX,AST, ,1018322,C,1,SJU,0,0, , , , , , , , ,MOCA/SAN SEBASTIAN,02/23/1996,1735, , , , ,"","HEAVY RAIN CAUSED SEVERAL MUDSLIDES ON ROAD #109 IN MOCA AND ROAD # 119 IN SAN SEBASTIAN.",7
5577010,KNOX (ZONE), ,04/16/1996,0,Debris Flow, , ,0,0,570000,0,ME,EST, ,2054861,Z,27,GYX,0,0, , , , , , , , , ,04/16/1996,0, , , , ,"","The combination of saturated soil conditions, abnormally high tides and wave action contributed to a landslump in a coastal area of Rockland very early on the 16th.  Two houses that were located on top of a seaside embankment were destroyed and sections of a highly traveled road and the public utilities that were buried beneath it were also damaged or destroyed.",8
5556960,NORTHERN OREGON COAST (ZONE), ,04/24/1996,0,Debris Flow, , ,0,0,0,0,OR,PST, ,2042482,Z,1,PQR,0,0, , , , , , , , , ,04/26/1996,0, , , , ,"","Heavy rains softened hillsides enough to trigger numerous mudslides in the Coast Range of Northwestern Oregon. In Kerry a manufactured home was pushed 200 yards. Buildings were also damaged in Woodson while 3 homes were destroyed by a mudslide in Clatskanie.",9
5577820,NORTHERN GRAFTON (ZONE), ,05/11/1996,1030,Debris Flow, , ,0,0,0,0,NH,EST, ,2055782,Z,3,GYX,0,0, , , , , , , , , ,05/11/1996,1815, , , , ,"","Two mudslides, triggered by heavy rains, closed a section of Rt. 302 near Bath twice.  The first mudslide occurred shortly before noon while the second mudslide occurred shortly after 7 pm.",10
5556758,BLUE EARTH CO.,LEHILLIER,06/17/1996,540,Debris Flow, , ,0,0,0,0,MN,CST, ,2042457,C,13,MPX,0,0, , , , , , , , ,LEHILLIER,06/17/1996,540, , , , ,"","Overnight heavy rains resulted in mudslide which pushed a house off its foundation.",11
5574476,MCDOWELL CO.,MARION,09/28/1996,1500,Debris Flow, , ,0,0,0,0,NC,EST, ,2048524,C,111,GSP,0,0, , , , ,5,NW,5,NW,MARION,09/28/1996,1700, , , , ,"","A prolonged period of heavy rain caused gradual rises on small streams in part of the mountains resulting in flooding. In McDowell county, no flooding was reported but mudslides and heavy rain downed numerous trees onto roadways.",12
5578402,LOWER COLUMBIA (ZONE), ,11/18/1996,1200,Debris Flow, , ,0,0,0,0,OR,PST, ,2055394,Z,5,PQR,0,0, , , , , , , , , ,11/20/1996,0, , , , ,"","Heavy rainfall on November 18th and 19th triggered dozens of mudslides in Northwestern Oregon. Near Newport 2 men were injured when a mudslide swept their vehicle off the road.",13
5578399,NORTHERN OREGON COAST (ZONE), ,11/18/1996,1200,Debris Flow, , ,0,0,0,0,OR,PST, ,2055394,Z,1,PQR,0,0, , , , , , , , , ,11/20/1996,0, , , , ,"","Heavy rainfall on November 18th and 19th triggered dozens of mudslides in Northwestern Oregon. Near Newport 2 men were injured when a mudslide swept their vehicle off the road.",14
5578401,CENTRAL COAST RANGE OF W OREGON (ZONE), ,11/18/1996,1200,Debris Flow, , ,0,0,0,0,OR,PST, ,2055394,Z,4,PQR,0,0, , , , , , , , , ,11/20/1996,0, , , , ,"","Heavy rainfall on November 18th and 19th triggered dozens of mudslides in Northwestern Oregon. Near Newport 2 men were injured when a mudslide swept their vehicle off the road.",15
5578400,CENTRAL OREGON COAST (ZONE), ,11/18/1996,1200,Debris Flow, , ,0,2,0,0,OR,PST, ,2055394,Z,2,PQR,0,0, , , , , , , , , ,11/20/1996,0, , , , ,"","Heavy rainfall on November 18th and 19th triggered dozens of mudslides in Northwestern Oregon. Near Newport 2 men were injured when a mudslide swept their vehicle off the road.",16
