EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5724914,HAINES BOROUGH AND LYNN CANAL (ZONE), ,02/03/1996,0,Drought, , ,0,0,0,0,AK,AST, ,2029316,Z,19,AFC,0,0, , , , , , , , , ,02/10/1996,2359, , , , ,"","After 3 months of drought, snows finally came...followed by avalanches and then flooding.  A record one week snow dumped 132.9 inches on the city of Valdez.  Next, avalanches cut off the Richardson Highway for most of the weekend while another avalanche swept over a local home.  When temperatures soared into the upper 30s Saturday, city streets began to flood.  The Public Works Department spent $30,000.00 in overtime during this week - about half the total overtime budget for the season.",1
5574671,FINNEY (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,63,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",2
5574837,CLARK (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,88,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",3
5574667,NESS (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,45,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",4
5574668,RUSH (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,46,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",5
5574838,COMANCHE (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,89,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",6
5574669,HAMILTON (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,61,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",7
5574679,FORD (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,78,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",8
5574678,GRAY (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,77,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",9
5574677,HASKELL (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,76,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",10
5574672,HODGEMAN (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,64,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",11
5574676,GRANT (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,75,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",12
5574675,STANTON (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,74,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",13
5574674,STAFFORD (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,66,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",14
5574673,PAWNEE (ZONE), ,03/01/1996,0,Drought, , ,0,0,0,0,KS,CST, ,2050201,Z,65,DDC,0,0, , , , , , , , , ,03/31/1996,2359, , , , ,"","March ended another month of extreme dryness.  The period from July 1995 through March was the driest period ever at many locations accross western Kansas, with records dating back 120 years.  The wheat crop was almost completely wiped out by the drought.",15
