EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5575182,CITRUS (ZONE), ,01/09/1996,100,Frost/Freeze, , ,0,0,0,0,FL,EST, ,2049207,Z,42,TBW,0,0, , , , , , , , , ,01/09/1996,900, , , , ,"","In Pasco county, temperatures as low as 22 degrees for up to six hours caused minor damage to the dormant citrus crop.  However, the duration of temperatures below freezing caused an electrical overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 4,500 customers from New Port Richey to Zephyrhills.

In Hernando county, temperatures in the low 20's for up to eight hours caused an electric overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 8,000 homeowners in Weeki Wachee and Timber Pines for two hours.

In Hillsborough county, several tropical fish farms lost over 50 percent of their harvest due to temperatures in the middle 20's for up to six hours.  The estimated loss to tropical farms was 5.5 million dollars.  Much of the tomato crop in southern Hillsborough county was also severely damaged by the freeze.  Total estimated crop damage in Hillsborough county was two million dollars.

In Lee county, 75 acres of squash, and 400 acres of cucumbers where killed by up to eight hours of sub-freezing temperatures.",1
5575187,POLK (ZONE), ,01/09/1996,100,Frost/Freeze, , ,0,0,0,0,FL,EST, ,2049207,Z,52,TBW,0,0, , , , , , , , , ,01/09/1996,900, , , , ,"","In Pasco county, temperatures as low as 22 degrees for up to six hours caused minor damage to the dormant citrus crop.  However, the duration of temperatures below freezing caused an electrical overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 4,500 customers from New Port Richey to Zephyrhills.

In Hernando county, temperatures in the low 20's for up to eight hours caused an electric overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 8,000 homeowners in Weeki Wachee and Timber Pines for two hours.

In Hillsborough county, several tropical fish farms lost over 50 percent of their harvest due to temperatures in the middle 20's for up to six hours.  The estimated loss to tropical farms was 5.5 million dollars.  Much of the tomato crop in southern Hillsborough county was also severely damaged by the freeze.  Total estimated crop damage in Hillsborough county was two million dollars.

In Lee county, 75 acres of squash, and 400 acres of cucumbers where killed by up to eight hours of sub-freezing temperatures.",2
5575190,HIGHLANDS (ZONE), ,01/09/1996,100,Frost/Freeze, , ,0,0,0,0,FL,EST, ,2049207,Z,57,TBW,0,0, , , , , , , , , ,01/09/1996,900, , , , ,"","In Pasco county, temperatures as low as 22 degrees for up to six hours caused minor damage to the dormant citrus crop.  However, the duration of temperatures below freezing caused an electrical overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 4,500 customers from New Port Richey to Zephyrhills.

In Hernando county, temperatures in the low 20's for up to eight hours caused an electric overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 8,000 homeowners in Weeki Wachee and Timber Pines for two hours.

In Hillsborough county, several tropical fish farms lost over 50 percent of their harvest due to temperatures in the middle 20's for up to six hours.  The estimated loss to tropical farms was 5.5 million dollars.  Much of the tomato crop in southern Hillsborough county was also severely damaged by the freeze.  Total estimated crop damage in Hillsborough county was two million dollars.

In Lee county, 75 acres of squash, and 400 acres of cucumbers where killed by up to eight hours of sub-freezing temperatures.",3
5575192,CHARLOTTE (ZONE), ,01/09/1996,100,Frost/Freeze, , ,0,0,0,0,FL,EST, ,2049207,Z,62,TBW,0,0, , , , , , , , , ,01/09/1996,900, , , , ,"","In Pasco county, temperatures as low as 22 degrees for up to six hours caused minor damage to the dormant citrus crop.  However, the duration of temperatures below freezing caused an electrical overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 4,500 customers from New Port Richey to Zephyrhills.

In Hernando county, temperatures in the low 20's for up to eight hours caused an electric overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 8,000 homeowners in Weeki Wachee and Timber Pines for two hours.

In Hillsborough county, several tropical fish farms lost over 50 percent of their harvest due to temperatures in the middle 20's for up to six hours.  The estimated loss to tropical farms was 5.5 million dollars.  Much of the tomato crop in southern Hillsborough county was also severely damaged by the freeze.  Total estimated crop damage in Hillsborough county was two million dollars.

In Lee county, 75 acres of squash, and 400 acres of cucumbers where killed by up to eight hours of sub-freezing temperatures.",4
5575186,HILLSBOROUGH (ZONE), ,01/09/1996,100,Frost/Freeze, , ,0,0,7500000,0,FL,EST, ,2049207,Z,51,TBW,0,0, , , , , , , , , ,01/09/1996,900, , , , ,"","In Pasco county, temperatures as low as 22 degrees for up to six hours caused minor damage to the dormant citrus crop.  However, the duration of temperatures below freezing caused an electrical overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 4,500 customers from New Port Richey to Zephyrhills.

In Hernando county, temperatures in the low 20's for up to eight hours caused an electric overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 8,000 homeowners in Weeki Wachee and Timber Pines for two hours.

In Hillsborough county, several tropical fish farms lost over 50 percent of their harvest due to temperatures in the middle 20's for up to six hours.  The estimated loss to tropical farms was 5.5 million dollars.  Much of the tomato crop in southern Hillsborough county was also severely damaged by the freeze.  Total estimated crop damage in Hillsborough county was two million dollars.

In Lee county, 75 acres of squash, and 400 acres of cucumbers where killed by up to eight hours of sub-freezing temperatures.",5
5575183,SUMTER (ZONE), ,01/09/1996,100,Frost/Freeze, , ,0,0,0,0,FL,EST, ,2049207,Z,43,TBW,0,0, , , , , , , , , ,01/09/1996,900, , , , ,"","In Pasco county, temperatures as low as 22 degrees for up to six hours caused minor damage to the dormant citrus crop.  However, the duration of temperatures below freezing caused an electrical overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 4,500 customers from New Port Richey to Zephyrhills.

In Hernando county, temperatures in the low 20's for up to eight hours caused an electric overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 8,000 homeowners in Weeki Wachee and Timber Pines for two hours.

In Hillsborough county, several tropical fish farms lost over 50 percent of their harvest due to temperatures in the middle 20's for up to six hours.  The estimated loss to tropical farms was 5.5 million dollars.  Much of the tomato crop in southern Hillsborough county was also severely damaged by the freeze.  Total estimated crop damage in Hillsborough county was two million dollars.

In Lee county, 75 acres of squash, and 400 acres of cucumbers where killed by up to eight hours of sub-freezing temperatures.",6
5575191,DE SOTO (ZONE), ,01/09/1996,100,Frost/Freeze, , ,0,0,0,0,FL,EST, ,2049207,Z,61,TBW,0,0, , , , , , , , , ,01/09/1996,900, , , , ,"","In Pasco county, temperatures as low as 22 degrees for up to six hours caused minor damage to the dormant citrus crop.  However, the duration of temperatures below freezing caused an electrical overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 4,500 customers from New Port Richey to Zephyrhills.

In Hernando county, temperatures in the low 20's for up to eight hours caused an electric overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 8,000 homeowners in Weeki Wachee and Timber Pines for two hours.

In Hillsborough county, several tropical fish farms lost over 50 percent of their harvest due to temperatures in the middle 20's for up to six hours.  The estimated loss to tropical farms was 5.5 million dollars.  Much of the tomato crop in southern Hillsborough county was also severely damaged by the freeze.  Total estimated crop damage in Hillsborough county was two million dollars.

In Lee county, 75 acres of squash, and 400 acres of cucumbers where killed by up to eight hours of sub-freezing temperatures.",7
5575189,HARDEE (ZONE), ,01/09/1996,100,Frost/Freeze, , ,0,0,0,0,FL,EST, ,2049207,Z,56,TBW,0,0, , , , , , , , , ,01/09/1996,900, , , , ,"","In Pasco county, temperatures as low as 22 degrees for up to six hours caused minor damage to the dormant citrus crop.  However, the duration of temperatures below freezing caused an electrical overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 4,500 customers from New Port Richey to Zephyrhills.

In Hernando county, temperatures in the low 20's for up to eight hours caused an electric overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 8,000 homeowners in Weeki Wachee and Timber Pines for two hours.

In Hillsborough county, several tropical fish farms lost over 50 percent of their harvest due to temperatures in the middle 20's for up to six hours.  The estimated loss to tropical farms was 5.5 million dollars.  Much of the tomato crop in southern Hillsborough county was also severely damaged by the freeze.  Total estimated crop damage in Hillsborough county was two million dollars.

In Lee county, 75 acres of squash, and 400 acres of cucumbers where killed by up to eight hours of sub-freezing temperatures.",8
5575185,PASCO (ZONE), ,01/09/1996,100,Frost/Freeze, , ,0,0,0,0,FL,EST, ,2049207,Z,49,TBW,0,0, , , , , , , , , ,01/09/1996,900, , , , ,"","In Pasco county, temperatures as low as 22 degrees for up to six hours caused minor damage to the dormant citrus crop.  However, the duration of temperatures below freezing caused an electrical overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 4,500 customers from New Port Richey to Zephyrhills.

In Hernando county, temperatures in the low 20's for up to eight hours caused an electric overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 8,000 homeowners in Weeki Wachee and Timber Pines for two hours.

In Hillsborough county, several tropical fish farms lost over 50 percent of their harvest due to temperatures in the middle 20's for up to six hours.  The estimated loss to tropical farms was 5.5 million dollars.  Much of the tomato crop in southern Hillsborough county was also severely damaged by the freeze.  Total estimated crop damage in Hillsborough county was two million dollars.

In Lee county, 75 acres of squash, and 400 acres of cucumbers where killed by up to eight hours of sub-freezing temperatures.",9
5575188,MANATEE (ZONE), ,01/09/1996,100,Frost/Freeze, , ,0,0,250000,0,FL,EST, ,2049207,Z,55,TBW,0,0, , , , , , , , , ,01/09/1996,900, , , , ,"","In Pasco county, temperatures as low as 22 degrees for up to six hours caused minor damage to the dormant citrus crop.  However, the duration of temperatures below freezing caused an electrical overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 4,500 customers from New Port Richey to Zephyrhills.

In Hernando county, temperatures in the low 20's for up to eight hours caused an electric overload at the Withlacoochee River Electric Co-op which eliminated service to nearly 8,000 homeowners in Weeki Wachee and Timber Pines for two hours.

In Hillsborough county, several tropical fish farms lost over 50 percent of their harvest due to temperatures in the middle 20's for up to six hours.  The estimated loss to tropical farms was 5.5 million dollars.  Much of the tomato crop in southern Hillsborough county was also severely damaged by the freeze.  Total estimated crop damage in Hillsborough county was two million dollars.

In Lee county, 75 acres of squash, and 400 acres of cucumbers where killed by up to eight hours of sub-freezing temperatures.",10
