EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5561826,COASTAL PALM BEACH (ZONE), ,07/10/1996,900,Hurricane (Typhoon), , ,0,0,0,0,FL,EST, ,2039215,Z,68,MFL,0,0, , , , , , , , , ,07/13/1996,1600, , , , ,"","Hurricane Bertha, after reaching category three intensity north of Puerto Rico, weakened slightly then turned northward on July 10 about 300 miles offshore the southeast Florida coast. The direct effects of Bertha remained well offshore in the Atlantic, but a few swells moved into Palm Beach County coastal waters on July 10, and more frequent swells moved into Palm Beach, Broward, and Dade coastal sections July 11 through July 13, when Bertha was far to the northeast. In separate incidents, two persons drowned in rip currents generated by Bertha's swells along unguarded sections of Miami Beach on Saturday, July 13. The beach patrols in all three counties made dozens of rescues from rip currents during the period.",1
5561828,METROPOLITAN MIAMI-DADE (ZONE), ,07/10/1996,900,Hurricane (Typhoon), , ,2,0,0,0,FL,EST, ,2039217,Z,74,MFL,0,0, , , , , , , , , ,07/13/1996,1600, , , , ,"","",2
5561827,COASTAL BROWARD (ZONE), ,07/10/1996,900,Hurricane (Typhoon), , ,0,0,0,0,FL,EST, ,2039216,Z,72,MFL,0,0, , , , , , , , , ,07/13/1996,1600, , , , ,"","",3
5564434,GEORGETOWN (ZONE), ,07/11/1996,2000,Hurricane (Typhoon),40, ,0,0,0,0,SC,EST, ,1022319,Z,46,ILM,0,0, , , , , , , , , ,07/12/1996,1700, , , , ,"","Bertha's hurricane force winds stayed over the ocean, but gale force winds affected the coast, and 6-8 foot surf caused minor beach erosion. No flooding reported. Two evacuation shelters were opened on the 11th, housed 293 people, and closed the 12th following storm passage.",4
5552060,COASTAL MCINTOSH (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,141,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",5
5552053,INLAND BRYAN (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,116,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",6
5552055,INLAND CHATHAM (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,118,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",7
5552054,COASTAL BRYAN (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,117,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",8
5552059,INLAND MCINTOSH (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,140,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",9
5552057,INLAND LIBERTY (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,138,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",10
5552056,COASTAL CHATHAM (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,119,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",11
