EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5536079,LITTLE COLORADO RIVER VALLEY IN APACHE COUNTY (ZONE), ,02/20/1996,515,Strong Wind,0, ,0,0,40000,0,AZ,MST, ,2402948,Z,14,FGZ,0,0, , , , , , , , , ,02/20/1996,515, , , , ,"","Wind Damage in Springerville, Arizona.  A brief gradient wind gust ripped the roof off one mobile home and knock several other mobiles homes off their foundations.  Structural movement broke several water lines and caused extensive damage to trailer skirting.  Many anchors and tie-down cables used to secure mobile homes were snapped.  There was no estimated or recorded wind speed.  There were no other reported high wind incidents in the vicinity.  The event lasted less than one minute.",1
5537680,REDWOOD COAST (ZONE), ,03/04/1996,730,Strong Wind, , ,0,0,5000,0,CA,PST, ,2403099,Z,1,EKA,0,0, , , , , , , , , ,03/04/1996,1030, , , , ,"","Strong winds from a Pacific storm system caused numerous trees and power lines to go down.  A carport was destroyed by the wind and several buildings were damaged by falling trees.  Peak gust of 77 mph at Trinidad Head and 58 mph in Arcata.",2
5537683,REDWOOD COAST (ZONE), ,03/13/1996,900,Strong Wind, , ,0,0,0,0,CA,PST, ,2404631,Z,1,EKA,0,0, , , , , , , , , ,03/13/1996,1800, , , , ,"","Strong winds along the coastal strip blew throughout much of the day.  Trinidad Head peak wind gust was 49 mph.",3
5542165,BEAUFORT (ZONE), ,03/27/1996,1400,Strong Wind,38, ,5,0,0,0,SC,EST, ,2403299,Z,48,CHS,0,0, , , , , , , , , ,03/28/1996,1200, , , , ,"","Gale force winds developed by early afternoon on March 27 and continued through the night. A research vessel doing soil samples off the coast of Beaufort capsized during the night of 3/27 or early morning on 3/28. All five passengers on board drowned.",4
5546639,REDWOOD COAST (ZONE), ,04/17/1996,300,Strong Wind, , ,0,0,0,0,CA,PST, ,2031351,Z,1,EKA,0,0, , , , , , , , , ,04/17/1996,1200, , , , ,"","Wind gusts to 51 mph at Crescent City airport at 11 am PDT.",5
5546640,REDWOOD COAST (ZONE), ,04/19/1996,400,Strong Wind, , ,0,0,0,0,CA,PST, ,1003998,Z,1,EKA,0,0, , , , , , , , , ,04/19/1996,700, , , , ,"","Wind gust to 46 mph at Crescent City airport at 6 am PDT.",6
5545261,CABELL CO.,HUNTINGTON,04/26/1996,1300,Strong Wind, , ,0,0,10000,0,WV,EST, ,2032021,C,11,RLX,0,0, , , , , , , , ,HUNTINGTON,04/26/1996,1300, , , , ,"","Wind gusts of 40 to 50 MPH caused a few trees to fall and
block roads in the city.  A vehicle was damaged.",7
5545928,REDWOOD COAST (ZONE), ,05/23/1996,1100,Strong Wind, , ,0,0,0,0,CA,PST, ,2032580,Z,1,EKA,0,0, , , , , , , , , ,05/23/1996,1700, , , , ,"","Strong pressure gradients across the West produced gusty winds over Northwest California.  Peak gusts at 1 pm PST were 41 mph at Trinidad Head and 39 mph at Cooskie Mountain.",8
5572919,FRANKLIN CO.,MALONE,06/04/1996,1535,Strong Wind,30, ,0,0,0,0,NY,EST, ,2048900,C,33,BTV,0,0, , , , , , , , ,MALONE,06/04/1996,1540, , , , ,"","A weak area of low pressure moved across New York and New England on Tuesday, June 4, 1996. Late afternoon and evening thunderstorms were scattered across Northern New York...with locally heavy rain and small hail and gusty winds reported.

In Malone, New York (Franklin County) pea sized hail with wind gust to 30 knots were reported at 1535 EST. In Plattsburgh, New York (Clinton County) pea size hail was reported at 1730 EST.",9
5567011,DUTCHESS CO.,COUNTYWIDE,07/15/1996,1300,Strong Wind, , ,0,0,10000,0,NY,EST, ,2044663,C,27,ALY,0,0, , , , , , , , ,COUNTYWIDE,07/15/1996,1800, , , , ,"","A cold front associated with strong winds crossed eastern New York during the afternoon of July 15.  Due to saturated soil from a very wet summer including the remnants of Hurricane Bertha on July 13, trees and power lines were downed by the wind across parts of Columbia and Dutchess Counties.  The hardest hit areas included the Towns of Greenport and Livingston in Columbia County and the Town of Wappinger in Dutchess County.",10
5567012,COLUMBIA CO.,COUNTYWIDE,07/15/1996,1300,Strong Wind, , ,0,0,15000,0,NY,EST, ,2044664,C,21,ALY,0,0, , , , , , , , ,COUNTYWIDE,07/15/1996,1800, , , , ,"","",11
5568025,FREDERICK CO.,WINCHESTER,07/19/1996,1455,Strong Wind, , ,0,0,2000,0,VA,EST, ,2043568,C,69,LWX,0,0, , , , , , , , ,WINCHESTER,07/19/1996,1455, , , , ,"","The combination of gusty thunderstorm winds, heavy rains from this and early morning storms, and saturated soil knocked down a large oak tree on Bond Street in Winchester.",12
5582062,CHESHIRE (ZONE), ,07/20/1996,1000,Strong Wind,40, ,0,0,0,0,NH,EST, ,2053870,Z,11,BOX,0,0, , , , , , , , , ,07/20/1996,1600, , , , ,"","",13
5582063,HILLSBOROUGH (ZONE), ,07/20/1996,1000,Strong Wind,40, ,0,0,0,0,NH,EST, ,2053871,Z,12,BOX,0,0, , , , , , , , , ,07/20/1996,1600, , , , ,"","Strong west to northwest winds gusting over 40 mph at times caused scattered power outages which affected several thousand electric customers.",14
5582054,WESTERN ESSEX (ZONE), ,07/20/1996,1300,Strong Wind,40, ,1,0,0,0,MA,EST, ,2053862,Z,6,BOX,0,0, , , , , , , , , ,07/20/1996,1300, , , , ,"","Somewhat strong winds, gusting over 40 mph at times, blew down a large tree, which fell directly on a 4-year-old girl, killing her.  The girl was playing outside her home in Haverhill.  The falling tree also damaged the house and smashed a truck parked in the driveway.  Investigators found the tree to be partially rotted.",15
5571235,INLAND SUSSEX (ZONE), ,08/13/1996,345,Strong Wind, , ,0,0,0,0,DE,EST, ,2051411,Z,3,PHI,0,0, , , , , , , , , ,08/13/1996,400, , , , ,"","A low pressure system that developed along the Gulf Coast states Monday morning the 12th moved northeast and passed through the Delmarva Peninsula the morning of the 13th.  As the low approached the peninsula winds increased from the southeast.  Gusts in excess of 40 mph along Indian River Bay tore the roof and an addition from one mobile home and badly damaged another mobile home in White House Beach in Long Neck.  The former was damaged beyond repair.",16
5568428,YAVAPAI COUNTY MOUNTAINS (ZONE), ,08/13/1996,1445,Strong Wind, , ,0,0,0,0,AZ,MST, ,2043664,Z,8,FGZ,0,0, , , , , , , , , ,08/13/1996,1445, , , , ,"","Strong winds blew a semi-trailer off highway 260 near Kayenta. Damage unknown.",17
