EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
9984154,LEE CO., ,02/01/1955,1345,Thunderstorm Wind,0, ,0,0,0,0,AR,CST, , ,C,77, ,0,0, , ,0,0,0, ,0, , ,02/01/1955,1345,34.78,-90.78, , ,"","",1
10029340,ST. CHARLES PAR., ,02/05/1955,800,Thunderstorm Wind,0, ,0,0,0,0,LA,CST, , ,C,89, ,0,0, , ,0,0,0, ,0, , ,02/05/1955,800,29.98,-90.28, , ,"","",2
10153917,SOUTHAMPTON CO., ,02/11/1955,1600,Thunderstorm Wind,0, ,0,0,0,0,VA,CST, , ,C,175, ,0,0, , ,0,0,0, ,0, , ,02/11/1955,1600,36.58,-77.18, , ,"","",3
10036785,SHELBY CO., ,03/01/1955,200,Thunderstorm Wind,0, ,0,0,0,0,KY,CST, , ,C,211, ,0,0, , ,0,0,0, ,0, , ,03/01/1955,200,38.20,-85.18, , ,"","",4
10035931,OLDHAM CO., ,03/01/1955,200,Thunderstorm Wind,0, ,0,0,0,0,KY,CST, , ,C,185, ,0,0, , ,0,0,0, ,0, , ,03/01/1955,200,38.38,-85.40, , ,"","",5
10036786,CASEY CO., ,03/01/1955,230,Thunderstorm Wind,0, ,0,0,0,0,KY,CST, , ,C,45, ,0,0, , ,0,0,0, ,0, , ,03/01/1955,230,37.28,-84.90, , ,"","",6
10126290,BLOUNT CO., ,03/01/1955,624,Thunderstorm Wind,75, ,0,0,0,0,TN,CST, , ,C,9, ,0,0, , ,0,0,0, ,0, , ,03/01/1955,624,35.78,-84.00, , ,"","",7
10126291,BLOUNT CO., ,03/01/1955,655,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,9, ,0,0, , ,0,0,0, ,0, , ,03/01/1955,655,35.78,-84.00, , ,"","",8
10005140,ALLEN CO., ,03/03/1955,2100,Thunderstorm Wind,0, ,0,0,0,0,IN,CST, , ,C,3, ,0,0, , ,0,0,0, ,0, , ,03/03/1955,2100,41.00,-85.18, , ,"","",9
10153919,PITTSYLVANIA CO., ,03/05/1955,1510,Thunderstorm Wind,0, ,0,0,0,0,VA,CST, , ,C,143, ,0,0, , ,0,0,0, ,0, , ,03/05/1955,1510,36.88,-79.28, , ,"","",10
