EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5558019,GEORGETOWN (ZONE), ,06/18/1996,1000,Tropical Storm,25, ,0,0,0,0,SC,EST, ,2041488,Z,46,ILM,0,0, , , , , , , , , ,06/19/1996,1000, , , , ,"","The center of Tropical Storm Arthur passed about 75 miles east of Cape Romain the morning of June 19, causing minimal surf and no surge. Rainfall in Georgetown accumulated around 5 inches as the storm approached and passed, but as it fell gradually, there was no flooding reported.",1
5558018,PENDER (ZONE), ,06/18/1996,1000,Tropical Storm,25, ,0,0,0,0,NC,EST, ,2041487,Z,97,ILM,0,0, , , , , , , , , ,06/19/1996,1600, , , , ,"","Tropical Storm Arthur. See narrative for Brunswick County.",2
5558017,NEW HANOVER (ZONE), ,06/18/1996,1000,Tropical Storm,25, ,0,0,0,0,NC,EST, ,2041486,Z,101,ILM,0,0, , , , , , , , , ,06/18/1996,1600, , , , ,"","Tropical Storm Arthur. See narrative for Brunswick County.",3
5558016,BRUNSWICK (ZONE), ,06/18/1996,1000,Tropical Storm,25, ,0,0,0,0,NC,EST, ,2041485,Z,100,ILM,0,0, , , , , , , , , ,06/19/1996,1600, , , , ,"","Tropical Storm Arthur passed Cape Fear on June 19, causing winds as strong as 34 knots and gusts to 40 knots at Frying Pan Shoals Tower at 12 pm EST. Surf increased to 4 to 5 feet, but storm tide rise was minimal, and there was little beach erosion. Rainfall ranged around 2 to 3 inches in most areas, causing ponding on roads, but no serious flooding was reported.",4
5558020,HORRY (ZONE), ,06/18/1996,1000,Tropical Storm,25, ,0,0,0,0,SC,EST, ,2041489,Z,34,ILM,0,0, , , , , , , , , ,06/19/1996,1000, , , , ,"","Wind and surf was minimal, and rainfall accumulations ranged up to 2 inches in Horry County",5
5580880,ONSLOW (ZONE), ,06/18/1996,1300,Tropical Storm, , ,0,0,0,0,NC,EST, ,2054487,Z,98,MHX,0,0, , , , , , , , , ,06/19/1996,2300, , , , ,"","Tropical Storm Arthur teased the North Carolina coast moving parallel to the coast and then up across Cape Lookout into the Pamlico Sound where it was downgraded to a tropical depression.  Up to 4 inches of rain fell across parts of southern Lenoir and northern Duplin counties.  Much of the rest of the area received between three quarters and two inches of rain.  Surf was running at 5-7 feet off Carteret County.  There was some damage to crops",6
5580867,PITT (ZONE), ,06/18/1996,1300,Tropical Storm, , ,0,0,0,0,NC,EST, ,2054487,Z,44,MHX,0,0, , , , , , , , , ,06/19/1996,2300, , , , ,"","Tropical Storm Arthur teased the North Carolina coast moving parallel to the coast and then up across Cape Lookout into the Pamlico Sound where it was downgraded to a tropical depression.  Up to 4 inches of rain fell across parts of southern Lenoir and northern Duplin counties.  Much of the rest of the area received between three quarters and two inches of rain.  Surf was running at 5-7 feet off Carteret County.  There was some damage to crops",7
5580866,MARTIN (ZONE), ,06/18/1996,1300,Tropical Storm, , ,0,0,0,0,NC,EST, ,2054487,Z,29,MHX,0,0, , , , , , , , , ,06/19/1996,2300, , , , ,"","Tropical Storm Arthur teased the North Carolina coast moving parallel to the coast and then up across Cape Lookout into the Pamlico Sound where it was downgraded to a tropical depression.  Up to 4 inches of rain fell across parts of southern Lenoir and northern Duplin counties.  Much of the rest of the area received between three quarters and two inches of rain.  Surf was running at 5-7 feet off Carteret County.  There was some damage to crops",8
5580871,GREENE (ZONE), ,06/18/1996,1300,Tropical Storm, , ,0,0,0,0,NC,EST, ,2054487,Z,79,MHX,0,0, , , , , , , , , ,06/19/1996,2300, , , , ,"","Tropical Storm Arthur teased the North Carolina coast moving parallel to the coast and then up across Cape Lookout into the Pamlico Sound where it was downgraded to a tropical depression.  Up to 4 inches of rain fell across parts of southern Lenoir and northern Duplin counties.  Much of the rest of the area received between three quarters and two inches of rain.  Surf was running at 5-7 feet off Carteret County.  There was some damage to crops",9
5580870,WESTERN DARE (ZONE), ,06/18/1996,1300,Tropical Storm, , ,0,0,0,0,NC,EST, ,2054487,Z,47,MHX,0,0, , , , , , , , , ,06/19/1996,2300, , , , ,"","Tropical Storm Arthur teased the North Carolina coast moving parallel to the coast and then up across Cape Lookout into the Pamlico Sound where it was downgraded to a tropical depression.  Up to 4 inches of rain fell across parts of southern Lenoir and northern Duplin counties.  Much of the rest of the area received between three quarters and two inches of rain.  Surf was running at 5-7 feet off Carteret County.  There was some damage to crops",10
