EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5534241,MANU'A (ZONE), ,09/28/2006,1922,Tsunami, , ,0,0,0,0,XX,SST, ,1220868,Z,3,ASO,0,0,OTHER FEDERAL AGENCY, , , , , , , , ,09/28/2006,1922, , , , ,"A 6.9 magnitude earthquake occurred within 200 miles southwest of Tutuila at about 7:22 pm local time.  This earthquake was felt throughout the Islands, and it generated a tsunami wave between 3 to 4 inches.
A Special Weather Statement was issued by the Weather Service Office for this event.  No injury or damages reported.","",1
5534219,TUTUILA (ZONE), ,09/28/2006,1922,Tsunami, , ,0,0,0,0,XX,SST, ,1220868,Z,2,ASO,0,0,OTHER FEDERAL AGENCY, , , , , , , , ,09/28/2006,1922, , , , ,"A 6.9 magnitude earthquake occurred within 200 miles southwest of Tutuila at about 7:22 pm local time.  This earthquake was felt throughout the Islands, and it generated a tsunami wave between 3 to 4 inches.
A Special Weather Statement was issued by the Weather Service Office for this event.  No injury or damages reported.","",2
8029,TUTUILA (ZONE), ,11/15/2006,1000,Tsunami, , ,0,0,0,0,XX,SST-11, ,1670,Z,2,ASO,0,0,Official NWS Observations, , , , , , , , ,11/15/2006,1700, , , , ,"","An 8.1 magnitude earthquake occurred in Japan in the early hours of November 15th, and it generated a tsunami reaching American Samoa which is located over 4 thousand miles.|American Samoa residents reported receding water and choppy seas along north shores around 10:30 am local time, and the Weather Service Office issued a Speacial Weather Statement for this event.  A tidal gage in Pago Pago indicated a small tsunami in the harbor area and it was less than a foot.  This event lasted within 4 to 5 hours, and no injury or damages reported.",3
8484,REDWOOD COAST (ZONE), ,11/15/2006,1138,Tsunami, , ,0,0,9200000,0,CA,PST-8, ,1744,Z,1,EKA,0,0,NWS Storm Survey, , , , , , , , ,11/16/2006,100, , , , ,"Tsunami surges affected Crescent City Harbor beginning at 1138PST and lasting for several hours.  The peak wave height was 5.8 feet as measured trough to peak. No injuries or deaths resulted from this tsunami. Damage was limited to docks and boats in Crescent City Harbor. The damage was caused by the high velocity currents resulting from the tsunami. No other significant wave heights occurred elsewhere in Del Norte County.","An 8.3 magnitude earthquake off the Kuril Islands produced a tsunami that propagated across the Pacific Ocean and impacted the West Coast of North America, including California.",4
3602,MONTEREY BAY/N SALINAS VALLEY/HOLLISTER VALLEY/CARMEL VALLEY (ZONE), ,11/15/2006,1300,Tsunami, , ,0,0,3000,0,CA,PST-8, ,820,Z,514,MTR,0,0,County Official, , , , , , , , ,11/15/2006,2100, , , , ,"A series of surge waves from a distant earthquake caused approximately 8 hours of jostling in Santa Cruz Harbor. About a 4 foot range of tidal difference occurred causing damage to 7 docks.","An 8.1 earthquake was reported at 0314 PST on November 15th, 2006. During the afternoon and early evening a series of surge waves moved into Northern and Central California.",5
204396,TUTUILA (ZONE), ,09/29/2009,648,Tsunami, , ,32,129,81000000,20000,XX,SST-11, ,35252,Z,2,ASO,19,0,Emergency Manager, , , , , , , , ,09/29/2009,1036, , , , ,"A 7.9 earthquake occurred about 120 miles southwest of Pago Pago and it shook the |entire Samoan and Tongan region. The earthquake occurred around 648 am |Samoan local time, and it took within 15 minutes for the tsunami waves to reach the Samoan Islands.","A tsunami wave affected all of American Samoa including neighboring Samoan Islands.|The tsunami was generated by a 7.9 earthquake that occurred about 120 miles southwest of Pago Pago. The wave went inland as far as 1 mile. The height of the waves ranged from 15 feet at Pago Pago harbor to 40 feet at Poloa village on the Island of Tutuila. There were 32 confirmed deaths and 2 are still missing to date. Several marinas and vehicles were heavily damaged; businesses, homes, schools and coastal roads were either flooded or destroyed. The American Samoa Power plant was also damaged on the Island of Tutuila, and the government graveyard site was unearthed by strong tsunami waves.These damages amounted to $81 million.",6
215380,TUTUILA (ZONE), ,02/27/2010,851,Tsunami, , ,0,0,0,0,XX,SST-11, ,37014,Z,2,ASO,0,0,Broadcast Media, , , , , , , , ,02/27/2010,1230, , , , ,"","The 8.5 magnitude earthquake on Chile generated a 3 to 5 feet tsunami on the Island of Tutuila. The tsunami reached half a mile inland on the village of Pago Pago, and it swept waters over a portion of the Pago Pago Plaza parking lot. There were no injuries or damages reported.",7
215383,ROSE (ZONE), ,02/27/2010,851,Tsunami, , ,0,0,0,0,XX,SST-11, ,37014,Z,4,ASO,0,0,Broadcast Media, , , , , , , , ,02/27/2010,1230, , , , ,"","The 8.5 magnitude earthquake on Chile generated a 3 to 5 feet tsunami on the Island of Tutuila. The tsunami reached half a mile inland on the village of Pago Pago, and it swept waters over a portion of the Pago Pago Plaza parking lot. There were no injuries or damages reported.",8
215382,SWAINS (ZONE), ,02/27/2010,851,Tsunami, , ,0,0,0,0,XX,SST-11, ,37014,Z,1,ASO,0,0,Broadcast Media, , , , , , , , ,02/27/2010,1230, , , , ,"","The 8.5 magnitude earthquake on Chile generated a 3 to 5 feet tsunami on the Island of Tutuila. The tsunami reached half a mile inland on the village of Pago Pago, and it swept waters over a portion of the Pago Pago Plaza parking lot. There were no injuries or damages reported.",9
215381,MANU'A (ZONE), ,02/27/2010,851,Tsunami, , ,0,0,0,0,XX,SST-11, ,37014,Z,3,ASO,0,0,Broadcast Media, , , , , , , , ,02/27/2010,1230, , , , ,"","The 8.5 magnitude earthquake on Chile generated a 3 to 5 feet tsunami on the Island of Tutuila. The tsunami reached half a mile inland on the village of Pago Pago, and it swept waters over a portion of the Pago Pago Plaza parking lot. There were no injuries or damages reported.",10
215756,SAN DIEGO COUNTY COASTAL AREAS (ZONE), ,02/27/2010,1200,Tsunami, , ,0,0,75000,0,CA,PST-8, ,37089,Z,43,SGX,0,0,Newspaper, , , , , , , , ,02/27/2010,1430, , , , ,"A series of tsunami surges destroyed a section of dock on Shelter Island and damaged an underwater pipe. Several vessels in America's Cup Harbor also came loose from their moorings. Some concrete pilings were snapped after a couple commercial fishing boats that were tied to them were pulled away by the strong currents. At Oceanside Harbor, all but one of the channel buoys were lifted and dragged by the surges. The buoys later washed up on the beaches. Currents associated with the surges were estimated at 8 to 10 knots.","A tsunami generated by an 8.8 magnitude earthquake off the coast of Chile reached the Southern California coast shortly after noon on February 27. The tsunami caused tidal surges of four to five feet over the course of about two hours. The speed of the currents in both Orange and San Diego counties were estimated to be 8 to 12 knots. The tsunami caused minor damage to structures and vessels, mainly in harbors.",11
215757,ORANGE COUNTY COASTAL AREAS (ZONE), ,02/27/2010,1210,Tsunami, , ,0,0,80000,0,CA,PST-8, ,37089,Z,42,SGX,0,0,Fire Department/Rescue, , , , , , , , ,02/27/2010,1430, , , , ,"A bait barge at Dana Point Harbor was snapped in half by a series of tsunami surges. A 12 knot current was observed with a three inch wave in the main channel. The depth in the main channel fell to 6 feet as the water receded. The normal depth in the channel is 12 to 15 feet.","A tsunami generated by an 8.8 magnitude earthquake off the coast of Chile reached the Southern California coast shortly after noon on February 27. The tsunami caused tidal surges of four to five feet over the course of about two hours. The speed of the currents in both Orange and San Diego counties were estimated to be 8 to 12 knots. The tsunami caused minor damage to structures and vessels, mainly in harbors.",12
211368,VENTURA COUNTY COAST (ZONE), ,02/27/2010,1230,Tsunami, , ,0,0,150000,0,CA,PST-8, ,36472,Z,40,LOX,0,0,Coast Guard, , , , , , , , ,02/27/2010,2200, , , , ,"Tsunami waves in excess of 3 feet affected the coastal areas of Ventura county. At Ventura Harbor, the tsunami damaged at least 21 docks, displaced several buoys, and produced some significant beach erosion. The harbor master reported a drop of 3.5 feet when the tsunami wave first subsided.","A magnitude 8.8 earthquake occurred along the central coast of Chile and produced a tsunami. For the coast of Southern California, it was one of the largest tsunami episodes since 1964. In general, tsunami waves between 2 and 4 feet were reported. The most significant damage occurred along the coasts of Ventura and southern Santa Barbara counties. Numerous reports of dock damage were reported along with beach erosion.",13
211367,SANTA BARBARA COUNTY SOUTH COAST (ZONE), ,02/27/2010,1245,Tsunami, , ,0,0,0,0,CA,PST-8, ,36472,Z,39,LOX,0,0,Coast Guard, , , , , , , , ,02/27/2010,2200, , , , ,"Tsunami waves of around 3 feet were reported by tide gauges across the Santa Barbara Channel. At Santa Barbara Pier, significant beach erosion was reported along with displacement of buoys. The tsunami surge lasted in excess of 20 hours.","A magnitude 8.8 earthquake occurred along the central coast of Chile and produced a tsunami. For the coast of Southern California, it was one of the largest tsunami episodes since 1964. In general, tsunami waves between 2 and 4 feet were reported. The most significant damage occurred along the coasts of Ventura and southern Santa Barbara counties. Numerous reports of dock damage were reported along with beach erosion.",14
283406,MANU'A (ZONE), ,03/11/2011,400,Tsunami, , ,0,0,0,0,XX,SST-11, ,47673,Z,3,ASO,0,0,Other Federal Agency, , , , , , , , ,03/11/2011,1100, , , , ,"","A 9.1 magnitude earthquake near Japan generated tsunami waves across the Pacific. A tide gage at the Pago Pago bay recorded tsunami waves peaking to near 3.5 feet. During high tides in the afternoon, local wave energy came over land and across the Pago Plaza on the Island of Tutuila after the cancellation of the tsunami warning. No injuries or fatalities reported.",15
283405,SWAINS (ZONE), ,03/11/2011,400,Tsunami, , ,0,0,0,0,XX,SST-11, ,47673,Z,1,ASO,0,0,Other Federal Agency, , , , , , , , ,03/11/2011,1100, , , , ,"","A 9.1 magnitude earthquake near Japan generated tsunami waves across the Pacific. A tide gage at the Pago Pago bay recorded tsunami waves peaking to near 3.5 feet. During high tides in the afternoon, local wave energy came over land and across the Pago Plaza on the Island of Tutuila after the cancellation of the tsunami warning. No injuries or fatalities reported.",16
