EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5536634,COLLIN CO.,PRINCETON,02/15/1996,1000,Wildfire, , ,0,0,0,0,TX,CST, ,1000822,C,85,FWD,0,0, , , , , , , , ,PRINCETON,02/15/1996,2300, , , , ,"","The combination of dormant winter vegetation and prolonged dry weather conditions resulted in a high fire danger during much of the month. The fire danger increased during the latter half of the month as temperatures climbed to record levels on several days, humidities fell into the teens and low level winds became strong and gusty. Burning bans were posted as a precautionary measure but over 250 major grassfires (none of which were started by weather phenomena) occurred with more than 75,000 acres burned. Many homes were burned down and numerous minor injuries (mainly to firemen) resulted.

Grassfires destroyed 5 homes in Princeton.",1
5536635,DENTON CO.,JUSTIN,02/21/1996,800,Wildfire, , ,0,0,0,0,TX,CST, ,2403065,C,121,FWD,0,0, , , , , , , , ,JUSTIN,02/21/1996,2300, , , , ,"","Grassfires in the county destroyed 5 homes and a business in Justin, 6 homes in Aubrey and 4 homes in Sanger.",2
5536636,PARKER CO.,POOLVILLE,02/22/1996,800,Wildfire, , ,0,0,0,0,TX,CST, ,2029261,C,367,FWD,0,0, , , , , , , , ,POOLVILLE,02/22/1996,2300, , , , ,"","A large grassfire near Poolville burned over 20,000 acres and destroyed 65 homes and about 90 other structures. There were also 52 minor injuries.",3
5540551,SHAWNEE CO.,AUBURN,02/24/1996,1045,Wildfire,35, ,0,3,250000,0,KS,CST, ,2403384,C,177,TOP,0,0, , , , ,2,SW,2,SW,AUBURN,02/24/1996,1800, , , , ,"","A fast moving grass/pasture fire consumed 25 square miles of grass and timber in southwest Shawnee county. The fire was fanned by extremely dry conditions and southwest winds at times gusting to around 40 mph. Three firefighters were injured while 2 homes and several outbuildings were destroyed. Some residents of the city of Auburn had to be evacuated as a precaution. The blaze destroyed an estimated 25,000 acres and may have been started in extreme northwest Osage county.",4
5542875,MCCRACKEN CO.,LONE OAK,02/25/1996,1300,Wildfire, , ,0,0,0,0,KY,CST, ,2403174,C,145,PAH,0,0, , , , , , , , ,LONE OAK,02/25/1996,1700, , , , ,"","Dry, warm, and windy conditions resulted in a rash of brush and grass fires. A rapidly moving grass fire in Lone Oak, near Paducah, changed direction and swept across a fire truck. Two firefighters received minor facial burns and smoke inhalation. The truck was heavily damaged. Most of the fires were 20 acres or less, but the largest fire near Symsonia burned about 100 acres. Fire departments throughout western Kentucky were kept busy by the fires, many of which were started by persons burning debris in their yards. Some of the fires spread to outbuildings, barns, or vehicles. Very few if any homes were involved in the fires.",5
5542876,HARDIN CO.,ELIZABETHTOWN,02/25/1996,1400,Wildfire, , ,0,0,0,0,IL,CST, ,2403175,C,69,PAH,0,0, , , , , , , , ,ELIZABETHTOWN,02/25/1996,2000, , , , ,"","Dry, warm, and windy conditions resulted in a rash of brush and grass fires. The largest fire burned about 600 acres in the Shawnee National Forest near Elizabethtown. Most of the fires were less than 100 acres in size.",6
5541451,ELLIS CO.,MIDLOTHIAN,03/02/1996,1200,Wildfire, , ,0,0,0,0,TX,CST, ,2403209,C,139,FWD,0,0, , , , , , , , ,MIDLOTHIAN,03/02/1996,2200, , , , ,"","Dormant winter vegetation and antecedent dry conditions over the area contributed to several large grass fires that burned 10,000 acres. Low humidities and strong winds also contributed to the fires.",7
5541452,CORYELL CO.,NORTH FT HOOD,03/03/1996,1200,Wildfire, , ,0,0,0,0,TX,CST, ,2029276,C,99,FWD,0,0, , , , , , , , ,NORTH FT HOOD,03/03/1996,2200, , , , ,"","Dormant winter vegetation and antecedent dry conditions over the area contributed to several large grass fires that burned 15,000 acres. Low humidities and strong winds also contributed to the fires.",8
5540622,MIAMI-DADE CO.,(MIA)MIAMI INTL,03/04/1996,1200,Wildfire, , ,0,0,0,0,FL,EST, ,2403609,C,86,MFL,0,0, , , , ,20,S,20,S,(MIA)MIAMI INTL,03/05/1996,2000, , , , ,"","A wild fire forced the intermittent closing of both U.S. 1 and Card Sound Road in deep south Dade. East winds of 25 to 30 mph pushed smoke and flames across both highways, causing traffic into and out of the Keys to be halted for up to 12 hours at a time.",9
5547075,LINCOLN CO.,CORONA,03/12/1996,1300,Wildfire, , ,0,0,0,0,NM,MST, ,2031416,C,27,ABQ,0,0, , , , ,11,SW,11,SW,CORONA,03/19/1996,1800, , , , ,"","A planned burn in the Cibola National Forest was fanned into a wildfire by low humidity and gusty winds. The Pinatosa fire in the Gallinas mountains was finally contained at about 6000 acres.",10
